"Metric","Launch To Date","Yearly","Year To Date","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Days","","","","","","","","","","","","","","","",""
"Working days","","","","","","","","","","","","","","","",""
"# Offer to Unique Merchants","","","","","","","","","","","","","","","",""
"# of Business Owner (A)","","","","","","","","","","","","","","","",""
"Total Site Visits","","","","","","","","","","","","","","","",""
"Less: Already has Active Loan","","","","","","","","","","","","","","","",""
"New Applicant site visits","","","","","","","","","","","","","","","",""
"# Unique Merchant IDs","","","","","","","","","","","","","","","",""
"APPLICATION JOURNEY","","","","","","","","","","","","","","","",""
"Introduction page","","","","","","","","","","","","","","","",""
"Slider Activity","","","","","","","","","","","","","","","",""
"OTP Verification","","","","","","","","","","","","","","","",""
"ID Verification","","","","","","","","","","","","","","","",""
"Facial Verification","","","","","","","","","","","","","","","",""
"Bank Info Confirmation","","","","","","","","","","","","","","","",""
"Loan Agreement Opened","","","","","","","","","","","","","","","",""
"Loan Agreement Review","","","","","","","","","","","","","","","",""
"Application Completed (B)","","","","","","","","","","","","","","","",""
"Total Attempts of Unique Merchants (C)","","","","","","","","","","","","","","","",""
"% Completed (B/C)","","","","","","","","","","","","","","","",""
"Contract Verification Rejected","","","","","","","","","","","","","","","",""
"Contract Verification Approved","","","","","","","","","","","","","","","",""
"New Loan (D)","","","","","","","","","","","","","","","",""
"Loan Dashboard","","","","","","","","","","","","","","","",""
"% Activation (D/A)","","","","","","","","","","","","","","","",""
"# New Loan / Working Days","","","","","","","","","","","","","","","",""
"Disbursed Amount","","","","","","","","","","","","","","","",""
"Average Disbursed Loan Amount","","","","","","","","","","","","","","","",""
"Expected Fee Amount (F)","","","","","","","","","","","","","","","",""
"less 15% (G)","","","","","","","","","","","","","","","",""
"Net Fee (F-G)","","","","","","","","","","","","","","","",""
"10% Commission (non-split payment)","","","","","","","","","","","","","","","",""
